userId,recommended_movies
14,"[Presumed Innocent (1990), Sausage Party (2016), Thief (1981), Life Is Beautiful (La Vita è bella) (1997), Split (2017), Glory Road (2006), Towering Inferno, The (1974), 7th Voyage of Sinbad, The (1958), 3-Iron (Bin-jip) (2004), Man from Snowy River, The (1982)]"
15,"[Split (2017), Magnum Force (1973), Half Nelson (2006), Last Detail, The (1973), Unforgiven, The (1960), Killing Fields, The (1984), Thief (1981), Intouchables (2011), Patton (1970), Melancholia (2011)]"
16,"[On the Beach (1959), Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993), Saving Face (2004), Jetée, La (1962), Come and See (Idi i smotri) (1985), Cosmos, Andalusian Dog, An (Chien andalou, Un) (1929), Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997), Best of Youth, The (La meglio gioventù) (2003), Paths of Glory (1957)]"
17,"[On the Beach (1959), Cosmos, Saving Face (2004), Enter the Void (2009), De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014), Connections (1978)]"
18,"[On the Beach (1959), Saving Face (2004), Cosmos, Three Billboards Outside Ebbing, Missouri (2017), Best of Youth, The (La meglio gioventù) (2003), Adam's Rib (1949), Autumn Sonata (Höstsonaten) (1978), Belle époque (1992), Enter the Void (2009), Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987)]"
19,"[Andalusian Dog, An (Chien andalou, Un) (1929), Saving Face (2004), Jetée, La (1962), Come and See (Idi i smotri) (1985), Senna (2010), Grand Day Out with Wallace and Gromit, A (1989), On the Beach (1959), Eddie Murphy Delirious (1983), Man Bites Dog (C'est arrivé près de chez vous) (1992), Oxygen (1999)]"
20,"[Three Billboards Outside Ebbing, Missouri (2017), All About My Mother (Todo sobre mi madre) (1999), Black Mirror: White Christmas (2014), Great Escape, The (1963), Guess Who's Coming to Dinner (1967), Stranger Than Paradise (1984), Antonia's Line (Antonia) (1995), General, The (1926), Very Potter Sequel, A (2010), 12 Angry Men (1997)]"
21,"[Strictly Sexual (2008), Babes in Toyland (1934), Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962), Louis C.K.: Chewed Up (2008), What's Your Number? (2011), Stoning of Soraya M., The (2008), Wal-Mart: The High Cost of Low Price (2005), Dune (2000), Louis C.K.: Shameless (2007), Fired Up (2009)]"
22,"[Angels and Insects (1995), Lost and Delirious (2001), Phantom of the Paradise (1974), Bug (2007), West Side Story (1961), Diabolique (Les diaboliques) (1955), Jeffrey (1995), Split (2017), Sausage Party (2016), Madness of King George, The (1994)]"
23,"[On the Beach (1959), Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993), Captain Fantastic (2016), The Artist (2011), Samouraï, Le (Godson, The) (1967), Battlestar Galactica (2003), Paths of Glory (1957), Best of Youth, The (La meglio gioventù) (2003), Cosmos, Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)]"
24,"[Saving Face (2004), On the Beach (1959), Cosmos, Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987), Adam's Rib (1949), Enter the Void (2009), De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015)]"
25,"[Saving Face (2004), On the Beach (1959), Cosmos, Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987), De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014), Connections (1978)]"
26,"[Saving Face (2004), On the Beach (1959), Cosmos, Adam's Rib (1949), Enter the Void (2009), North & South (2004), Dune (2000), De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003)]"
27,"[Babes in Toyland (1934), Guess Who's Coming to Dinner (1967), Mississippi Masala (1991), Dangerous Beauty (1998), Beautiful Thing (1996), Adam's Rib (1949), Glory Road (2006), It Happened One Night (1934), Gods Must Be Crazy II, The (1989), Shine (1996)]"
28,"[Frozen River (2008), Visitor, The (2007), On the Beach (1959), Dune (2000), Children of Dune (2003), Battlestar Galactica (2003), Black Cat, White Cat (Crna macka, beli macor) (1998), Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962), Cosmos, Enemy Mine (1985)]"
29,"[On the Beach (1959), Cosmos, Saving Face (2004), Best of Youth, The (La meglio gioventù) (2003), Autumn Sonata (Höstsonaten) (1978), Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972), Frozen River (2008), Visitor, The (2007), Enter the Void (2009), Belle époque (1992)]"
30,"[Strictly Sexual (2008), Saving Face (2004), North & South (2004), Beautiful Thing (1996), Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987), Paperman (2012), General, The (1926), Raiders of the Lost Ark: The Adaptation (1989), Eva (2011), Paper Birds (Pájaros de papel) (2010)]"
31,"[Stranger Than Paradise (1984), Saving Face (2004), Grand Day Out with Wallace and Gromit, A (1989), Dangerous Beauty (1998), Palm Beach Story, The (1942), Creature Comforts (1989), Senna (2010), Antonia's Line (Antonia) (1995), My Wife is an Actress (Ma Femme est une Actrice) (2001), My Life in Pink (Ma vie en rose) (1997)]"
32,"[On the Beach (1959), Three Billboards Outside Ebbing, Missouri (2017), Hamlet (1996), General, The (1926), Best of Youth, The (La meglio gioventù) (2003), Black Mirror: White Christmas (2014), Streetcar Named Desire, A (1951), All Watched Over by Machines of Loving Grace (2011), Guess Who's Coming to Dinner (1967), Black Cat, White Cat (Crna macka, beli macor) (1998)]"
33,"[Seve (2014), The Big Bus (1976), Victory (a.k.a. Escape to Victory) (1981), Ponette (1996), Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982), Holy Mountain, The (Montaña sagrada, La) (1973), All Watched Over by Machines of Loving Grace (2011), Three Billboards Outside Ebbing, Missouri (2017), Cosmos, De platte jungle (1978)]"
34,"[Fist of Legend (Jing wu ying xiong) (1994), Waydowntown (2000), Saving Face (2004), Inside Job (2010), Paradise Lost: The Child Murders at Robin Hood Hills (1996), Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau) (1993), Mist, The (2007), Grand Day Out with Wallace and Gromit, A (1989), Jetée, La (1962), Andalusian Dog, An (Chien andalou, Un) (1929)]"
35,"[Black Cat, White Cat (Crna macka, beli macor) (1998), Lost and Delirious (2001), Affair to Remember, An (1957), Three Billboards Outside Ebbing, Missouri (2017), Three Colors: Red (Trois couleurs: Rouge) (1994), General, The (1926), Black Mirror: White Christmas (2014), Stranger Than Paradise (1984), Guess Who's Coming to Dinner (1967), 7th Voyage of Sinbad, The (1958)]"
36,"[Skin I Live In, The (La piel que habito) (2011), Submarine (2010), Saving Face (2004), Andalusian Dog, An (Chien andalou, Un) (1929), Paperman (2012), Cinema Paradiso (Nuovo cinema Paradiso) (1989), Spotlight (2015), Never Cry Wolf (1983), Man on Wire (2008), Raiders of the Lost Ark: The Adaptation (1989)]"
37,"[Black Dynamite (2009), De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014), Connections (1978), Zeitgeist: Moving Forward (2011), Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992), Summer's Tale, A (Conte d'été) (1996)]"
38,"[Wallace & Gromit: The Best of Aardman Animation (1996), Black Mirror: White Christmas (2014), True Grit (1969), Great Escape, The (1963), Shine (1996), Seve (2014), The Big Bus (1976), On the Beach (1959), Schindler's List (1993), Victory (a.k.a. Escape to Victory) (1981)]"
39,"[Jetée, La (1962), On the Beach (1959), Come and See (Idi i smotri) (1985), Night on Earth (1991), Autumn Sonata (Höstsonaten) (1978), Wings of Desire (Himmel über Berlin, Der) (1987), Last Tango in Paris (Ultimo tango a Parigi) (1972), Cosmos, Black Mirror: White Christmas (2014), Underground (1995)]"
40,"[On the Beach (1959), Hamlet (1996), Senna (2010), Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997), Black Mirror: White Christmas (2014), Dune (2000), Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997), Stunt Man, The (1980), General, The (1926), Assassination of Jesse James by the Coward Robert Ford, The (2007)]"
41,"[Inland Empire (2006), Farewell My Concubine (Ba wang bie ji) (1993), Reign Over Me (2007), Halloween II (2009), Gigantic (A Tale of Two Johns) (2002), Breaking the Waves (1996), Bully (2001), Kissing Jessica Stein (2001), Burnt by the Sun (Utomlyonnye solntsem) (1994), Wild Tales (2014)]"
42,"[7th Voyage of Sinbad, The (1958), Black Mirror: White Christmas (2014), Towering Inferno, The (1974), Imposter, The (2012), Reign Over Me (2007), Love Me If You Dare (Jeux d'enfants) (2003), Stranger Than Paradise (1984), Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929), Three Billboards Outside Ebbing, Missouri (2017), Arizona Dream (1993)]"
43,"[Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008), Easy Money (1983), My Wife is an Actress (Ma Femme est une Actrice) (2001), Persuasion (1995), Last Dragon, The (1985), Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987), Anne of Green Gables (1985), Trailer Park Boys (1999), Tyler Perry's I Can Do Bad All by Myself (2009), Set It Off (1996)]"
44,"[Three Colors: Red (Trois couleurs: Rouge) (1994), Duck Soup (1933), Dune (2000), Killer, The (Die xue shuang xiong) (1989), Seve (2014), The Big Bus (1976), Black Cat, White Cat (Crna macka, beli macor) (1998), Yojimbo (1961), Sullivan's Travels (1941), Bill Hicks: Revelations (1993)]"
45,"[De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014), Connections (1978), Zeitgeist: Moving Forward (2011), Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992), Summer's Tale, A (Conte d'été) (1996), Human Condition III, The (Ningen no joken III) (1961)]"
46,"[Adam's Rib (1949), Saving Face (2004), Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987), Creature Comforts (1989), North & South (2004), Anne of Green Gables (1985), Very Potter Sequel, A (2010), 12 Angry Men (1997), Mr. Skeffington (1944), Dangerous Beauty (1998)]"
47,"[I Origins (2014), Half Nelson (2006), Jason's Lyric (1994), Reign Over Me (2007), Magnum Force (1973), Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962), Melancholia (2011), Bullitt (1968), Fiddler on the Roof (1971), Words, The (2012)]"
48,"[Saving Face (2004), Adam's Rib (1949), North & South (2004), De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014), Connections (1978), Zeitgeist: Moving Forward (2011)]"
49,"[Saving Face (2004), Cosmos, On the Beach (1959), De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014), Connections (1978), Zeitgeist: Moving Forward (2011)]"
50,"[Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993), Kind Hearts and Coronets (1949), Best of Youth, The (La meglio gioventù) (2003), On the Beach (1959), Holy Mountain, The (Montaña sagrada, La) (1973), Lamerica (1994), All Watched Over by Machines of Loving Grace (2011), Tale of Two Sisters, A (Janghwa, Hongryeon) (2003), Woman in the Dunes (Suna no onna) (1964), Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)]"
51,"[Samouraï, Le (Godson, The) (1967), On the Beach (1959), Penn & Teller Get Killed (1989), Requiem for a Dream (2000), Captain Fantastic (2016), Trainspotting (1996), Batman: Mask of the Phantasm (1993), Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993), Saving Face (2004), Black Mirror: White Christmas (2014)]"
52,"[Saving Face (2004), Strictly Sexual (2008), Cosmos, On the Beach (1959), Isle of Dogs (2018), Raiders of the Lost Ark: The Adaptation (1989), Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987), Imposter, The (2012), Shooting Fish (1997), De platte jungle (1978)]"
53,"[Cosmos, De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014), Connections (1978), Zeitgeist: Moving Forward (2011), Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992), Summer's Tale, A (Conte d'été) (1996)]"
54,"[Three Billboards Outside Ebbing, Missouri (2017), Adam's Rib (1949), Cosmos, Stranger Than Paradise (1984), On the Beach (1959), Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage) (2005), General, The (1926), Shawshank Redemption, The (1994), Into the Woods (1991), Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987)]"
55,"[Rules of Attraction, The (2002), Isle of Dogs (2018), Jackass Number Two (2006), Slap Shot (1977), Tadpole (2002), Boondock Saints II: All Saints Day, The (2009), Family Guy Presents: It's a Trap (2010), Paper Heart (2009), Jackass 2.5 (2007), Monsieur Lazhar (2011)]"
56,"[Come and See (Idi i smotri) (1985), Saving Face (2004), Andalusian Dog, An (Chien andalou, Un) (1929), Jetée, La (1962), Cosmos, De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014)]"
57,"[On the Beach (1959), Lifeboat (1944), Wallace & Gromit: The Best of Aardman Animation (1996), Saving Face (2004), Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993), Rivers and Tides (2001), Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997), Andalusian Dog, An (Chien andalou, Un) (1929), Best of Youth, The (La meglio gioventù) (2003), True Grit (1969)]"
58,"[Wallace & Gromit: The Best of Aardman Animation (1996), Great Escape, The (1963), 3-Iron (Bin-jip) (2004), True Grit (1969), Andalusian Dog, An (Chien andalou, Un) (1929), Seve (2014), The Big Bus (1976), Shall We Dance (1937), Victory (a.k.a. Escape to Victory) (1981), Saving Face (2004)]"
59,"[Woman in the Dunes (Suna no onna) (1964), Best of Youth, The (La meglio gioventù) (2003), Lady Jane (1986), Crossing Delancey (1988), Jules and Jim (Jules et Jim) (1961), Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975), Secrets & Lies (1996), Last Tango in Paris (Ultimo tango a Parigi) (1972), Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000) (1976), Burnt by the Sun (Utomlyonnye solntsem) (1994)]"
60,"[Adam's Rib (1949), Strictly Sexual (2008), General, The (1926), Top Hat (1935), Beautiful Thing (1996), On the Beach (1959), Black Cat, White Cat (Crna macka, beli macor) (1998), Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987), North & South (2004), Black Mirror: White Christmas (2014)]"
61,"[On the Beach (1959), Cosmos, Best of Youth, The (La meglio gioventù) (2003), Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972), All Watched Over by Machines of Loving Grace (2011), Dragon Ball Z: The History of Trunks (Doragon bôru Z: Zetsubô e no hankô!! Nokosareta chô senshi - Gohan to Torankusu) (1993), Saving Face (2004), Come and See (Idi i smotri) (1985), Enter the Void (2009), Bad Boy Bubby (1993)]"
62,"[Cosmos, Saving Face (2004), On the Beach (1959), De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014), Connections (1978), Zeitgeist: Moving Forward (2011)]"
63,"[Bill Hicks: Revelations (1993), Dylan Moran: Monster (2004), Dune (2000), On the Beach (1959), Eddie Izzard: Dress to Kill (1999), Emma (2009), North & South (2004), American: The Bill Hicks Story (2009), Saving Face (2004), Eva (2011)]"
64,"[Come and See (Idi i smotri) (1985), Jetée, La (1962), Andalusian Dog, An (Chien andalou, Un) (1929), My Sassy Girl (Yeopgijeogin geunyeo) (2001), Saving Face (2004), On the Beach (1959), Best of Youth, The (La meglio gioventù) (2003), Mary and Max (2009), Cosmos, All Watched Over by Machines of Loving Grace (2011)]"
65,"[De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014), Connections (1978), Zeitgeist: Moving Forward (2011), Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992), Summer's Tale, A (Conte d'été) (1996), Human Condition III, The (Ningen no joken III) (1961)]"
66,"[Cosmos, On the Beach (1959), Best of Youth, The (La meglio gioventù) (2003), Saving Face (2004), De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014), Connections (1978)]"
67,"[Louis C.K.: Shameless (2007), Strictly Sexual (2008), Raiders of the Lost Ark: The Adaptation (1989), Imposter, The (2012), Andalusian Dog, An (Chien andalou, Un) (1929), Come and See (Idi i smotri) (1985), Shooting Fish (1997), Black Mirror: White Christmas (2014), Saving Face (2004), 7th Voyage of Sinbad, The (1958)]"
68,"[Strictly Sexual (2008), Babes in Toyland (1934), Saving Face (2004), Adam's Rib (1949), What's Your Number? (2011), Stoning of Soraya M., The (2008), Wal-Mart: The High Cost of Low Price (2005), Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987), North & South (2004), Raiders of the Lost Ark: The Adaptation (1989)]"
69,"[Saving Face (2004), Andalusian Dog, An (Chien andalou, Un) (1929), On the Beach (1959), Black Mirror: White Christmas (2014), Jetée, La (1962), Come and See (Idi i smotri) (1985), Imposter, The (2012), Stranger Than Paradise (1984), Raiders of the Lost Ark: The Adaptation (1989), Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987)]"
70,"[On the Beach (1959), Saving Face (2004), Best of Youth, The (La meglio gioventù) (2003), Belle époque (1992), The Artist (2011), Cosmos, Cherish (2002), Rain (2001), Two Family House (2000), Rivers and Tides (2001)]"
71,"[Strictly Sexual (2008), Tales from the Darkside: The Movie (1990), My Wife is an Actress (Ma Femme est une Actrice) (2001), Babes in Toyland (1934), Taxi 2 (2000), Whole Ten Yards, The (2004), Set It Off (1996), Sausage Party (2016), What's Your Number? (2011), Stoning of Soraya M., The (2008)]"
72,"[On the Beach (1959), Cosmos, Saving Face (2004), Enter the Void (2009), De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014), Connections (1978)]"
73,"[Emma (2009), On the Beach (1959), Cosmos, Saving Face (2004), Strictly Sexual (2008), Louis C.K.: Shameless (2007), Eva (2011), Paper Birds (Pájaros de papel) (2010), Louis C.K.: Live at the Beacon Theater (2011), Raiders of the Lost Ark: The Adaptation (1989)]"
74,"[Best of Youth, The (La meglio gioventù) (2003), Three Billboards Outside Ebbing, Missouri (2017), Kind Hearts and Coronets (1949), The Artist (2011), On the Beach (1959), All Watched Over by Machines of Loving Grace (2011), Hour of the Wolf (Vargtimmen) (1968), Autumn Sonata (Höstsonaten) (1978), Rififi (Du rififi chez les hommes) (1955), Three Colors: Red (Trois couleurs: Rouge) (1994)]"
75,"[Last Dragon, The (1985), Saving Face (2004), Day of the Doctor, The (2013), Doctor Dolittle (1967), Argo (2012), Adam's Rib (1949), Submarine (2010), Doctor Who: The Time of the Doctor (2013), Rules of Attraction, The (2002), Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987)]"
76,"[Hard-Boiled (Lat sau san taam) (1992), Solaris (Solyaris) (1972), Black Dynamite (2009), Saw VII 3D - The Final Chapter (2010), Room, The (2003), O (2001), Burnt by the Sun (Utomlyonnye solntsem) (1994), On the Beach (1959), Saw VI (2009), Children of Dune (2003)]"
77,"[Dune (2000), Adam's Rib (1949), Babes in Toyland (1934), Strictly Sexual (2008), Finding Dory (2016), Very Potter Musical, A (2009), Bourne Identity, The (1988), Star Trek IV: The Voyage Home (1986), Monsieur Lazhar (2011), Star Trek VI: The Undiscovered Country (1991)]"
78,"[My Wife is an Actress (Ma Femme est une Actrice) (2001), Senna (2010), Sullivan's Travels (1941), Dune (2000), Twin Dragons (Shuang long hui) (1992), Emma (2009), Andalusian Dog, An (Chien andalou, Un) (1929), North & South (2004), Doubt (2008), Pride and Prejudice (1995)]"
79,"[On the Beach (1959), Senna (2010), Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997), Pierrot le fou (1965), Black Mirror: White Christmas (2014), Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997), Andalusian Dog, An (Chien andalou, Un) (1929), Bridge on the River Kwai, The (1957), Seve (2014), The Big Bus (1976)]"
80,"[Cosmos, Saving Face (2004), On the Beach (1959), De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014), Connections (1978), Zeitgeist: Moving Forward (2011)]"
81,"[Split (2017), African Queen, The (1951), Wings of the Dove, The (1997), Battlestar Galactica (2003), Monsoon Wedding (2001), Last Detail, The (1973), On the Beach (1959), His Girl Friday (1940), Wallace & Gromit: The Best of Aardman Animation (1996), Before Sunrise (1995)]"
82,"[Isle of Dogs (2018), Strictly Sexual (2008), Man with the Movie Camera, The (Chelovek s kino-apparatom) (1929), Shooting Fish (1997), Monsieur Lazhar (2011), De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014)]"
83,"[Duchess, The (2008), Ivan's Childhood (a.k.a. My Name is Ivan) (Ivanovo detstvo) (1962), Black Cat, White Cat (Crna macka, beli macor) (1998), Affair to Remember, An (1957), Hell or High Water (2016), Frozen River (2008), Visitor, The (2007), Very Potter Sequel, A (2010), 12 Angry Men (1997), Mr. Skeffington (1944)]"
84,"[3-Iron (Bin-jip) (2004), Victory (a.k.a. Escape to Victory) (1981), Seve (2014), The Big Bus (1976), Schindler's List (1993), Best of Youth, The (La meglio gioventù) (2003), Three Billboards Outside Ebbing, Missouri (2017), Open Hearts (Elsker dig for evigt) (2002), Gigantic (A Tale of Two Johns) (2002), Last Tango in Paris (Ultimo tango a Parigi) (1972)]"
85,"[Holiday (1938), True Grit (1969), Wages of Fear, The (Salaire de la peur, Le) (1953), Romper Stomper (1992), Curse of the Jade Scorpion, The (2001), Great Escape, The (1963), Kind Hearts and Coronets (1949), Cookie's Fortune (1999), Fury (1936), Gigi (1958)]"
86,"[Cosmos, De platte jungle (1978), Blue Planet II (2017), Nasu: Summer in Andalusia (2003), Bitter Lake (2015), Watermark (2014), Connections (1978), Zeitgeist: Moving Forward (2011), Dream of Light (a.k.a. Quince Tree Sun, The) (Sol del membrillo, El) (1992), Summer's Tale, A (Conte d'été) (1996)]"
87,"[On the Beach (1959), Best of Youth, The (La meglio gioventù) (2003), The Artist (2011), Cosmos, Saving Face (2004), Belle époque (1992), Three Billboards Outside Ebbing, Missouri (2017), Rivers and Tides (2001), Adam's Rib (1949), Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)]"
88,"[On the Beach (1959), Cosmos, Autumn Sonata (Höstsonaten) (1978), Saving Face (2004), Best of Youth, The (La meglio gioventù) (2003), General, The (1926), Rivers and Tides (2001), Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997), Crazy Heart (2009), Three Billboards Outside Ebbing, Missouri (2017)]"
89,"[All Yours (2016), World of Glory (1991), Tenchi Muyô! In Love (1996), Ice Age: The Great Egg-Scapade (2016), The Love Bug (1997), Unicorn City (2012), Spellbound (2011), Lumberjack Man (2015), A Perfect Day (2015), Cosmic Scrat-tastrophe (2015)]"
